scenario_id,stress_intensity,scenario_severity,gdp_shock_pp,unemp_shock_pp,rate_shock_pp,credit_spread_bps,inflation_shock_pp,fx_devaluation_pct
SCN_0349,0.43,moderate,-5.08,3.37,1.56,238.8,4.7,16.79
SCN_0350,0.331,moderate,-3.78,3.0,2.06,186.7,4.81,21.71
SCN_0351,0.754,severe,-9.61,8.16,3.18,391.7,14.29,23.14
SCN_0352,0.638,adverse,-7.76,5.74,1.08,345.9,10.17,15.61
SCN_0353,0.249,mild,-1.99,2.44,2.6,119.0,0.04,15.83
SCN_0354,0.167,mild,-1.19,1.7,1.58,88.8,4.64,9.45
SCN_0355,0.189,mild,-2.06,1.77,-0.55,76.3,2.85,6.69
SCN_0356,0.31,moderate,-3.97,3.25,1.08,123.1,4.67,5.33
SCN_0357,0.344,moderate,-4.04,3.68,2.93,183.3,0.33,5.23
SCN_0358,0.088,mild,-1.69,1.19,1.56,45.8,0.0,5.9
SCN_0359,0.631,adverse,-7.84,5.78,2.55,291.1,10.53,35.21
SCN_0360,0.704,adverse,-8.02,7.0,4.52,325.8,13.77,20.71
SCN_0361,0.226,mild,-2.81,1.73,,112.1,1.16,4.21
SCN_0362,0.222,mild,-2.35,2.1,-0.35,122.7,2.97,6.36
SCN_0363,0.778,severe,-8.94,7.71,-1.58,373.5,9.52,31.09
SCN_0364,0.02,baseline,0.03,0.34,0.95,24.0,2.64,5.26
SCN_0365,0.138,mild,-0.82,1.49,0.57,74.4,2.68,1.14
SCN_0366,0.686,adverse,-6.52,6.67,2.36,334.0,9.07,31.73
SCN_0367,0.545,adverse,-6.82,4.66,3.74,238.3,9.75,33.07
SCN_0368,0.414,moderate,-5.96,4.59,0.9,232.9,5.5,11.32
SCN_0369,0.283,moderate,-2.94,2.72,1.6,137.5,1.07,11.89
SCN_0370,0.236,mild,-3.1,2.74,0.1,129.9,3.38,14.12
SCN_0371,0.22,mild,-2.37,2.66,,101.2,0.0,9.8
SCN_0372,0.676,adverse,-7.46,6.29,0.46,347.2,9.96,14.23
SCN_0373,0.467,moderate,-6.72,4.2,-0.69,270.0,3.97,14.7
SCN_0374,0.002,baseline,1.05,-0.23,0.41,31.9,0.0,3.68
SCN_0375,0.464,moderate,-5.67,3.81,2.99,248.6,6.83,14.63
SCN_0376,0.663,adverse,-8.09,6.78,,279.2,7.87,24.01
SCN_0377,0.133,mild,-1.36,1.47,1.76,56.2,1.39,10.42
SCN_0378,0.813,severe,-9.79,8.22,3.96,400.4,14.59,34.61
SCN_0379,0.386,moderate,-4.76,3.7,1.23,210.3,6.37,14.7
SCN_0380,0.218,,-3.19,3.25,2.44,93.4,6.85,9.03
SCN_0381,0.829,severe,-10.03,8.13,1.98,386.7,12.21,30.48
SCN_0382,0.497,moderate,-5.91,3.8,2.07,303.3,9.62,13.34
SCN_0383,0.186,mild,-2.67,1.18,-0.25,94.7,0.0,0.75
SCN_0384,0.876,severe,-10.75,8.95,5.18,452.2,10.18,38.86
SCN_0385,0.593,adverse,-7.78,6.14,-0.82,303.0,10.31,20.85
SCN_0386,0.695,adverse,-8.63,6.34,-1.0,355.4,7.61,25.92
SCN_0387,0.954,severe,-11.27,9.29,-0.41,483.4,17.4,29.61
SCN_0388,0.139,mild,-2.26,1.19,-0.52,55.2,0.0,0.0
SCN_0389,0.372,moderate,-5.1,4.03,0.97,158.7,10.06,9.84
SCN_0390,0.423,moderate,-4.69,4.56,-0.06,206.9,2.3,27.04
SCN_0391,0.34,,-4.7,2.88,0.46,196.9,11.15,9.51
SCN_0392,0.184,mild,-3.55,1.72,-0.3,79.0,3.32,8.42
SCN_0393,0.93,severe,-11.35,8.75,2.27,465.1,16.17,36.49
SCN_0394,0.721,adverse,-9.52,6.83,0.42,375.7,11.7,30.74
SCN_0395,0.652,adverse,-7.7,7.12,3.96,327.3,13.48,23.39
SCN_0396,0.546,adverse,-7.06,5.81,3.26,272.1,11.46,9.26
SCN_0397,0.754,severe,-9.07,7.17,1.53,375.4,10.28,26.5
SCN_0398,0.718,adverse,-9.07,7.67,1.91,342.2,14.04,31.81
SCN_0399,0.293,moderate,-3.79,2.81,2.22,126.6,1.78,7.17
SCN_0400,0.586,adverse,-7.97,5.97,0.18,327.1,7.12,22.0
SCN_0401,0.393,moderate,-4.87,4.3,-0.35,203.0,5.25,11.96
SCN_0402,0.574,adverse,-7.37,5.43,0.67,295.8,11.6,15.55
SCN_0403,0.54,adverse,-7.1,5.25,,282.1,6.41,23.96
SCN_0404,0.765,severe,-9.57,7.02,,400.3,12.16,37.96
SCN_0405,0.687,adverse,-8.43,6.71,2.55,326.6,13.22,25.84
SCN_0406,0.095,mild,-0.73,1.82,1.95,45.5,5.2,8.18
SCN_0407,0.771,severe,-9.25,7.81,0.12,358.3,7.71,22.54
SCN_0408,0.484,moderate,-6.19,5.15,3.25,245.7,4.19,14.62
SCN_0409,0.519,adverse,-5.87,4.83,3.49,303.4,7.74,14.69
SCN_0410,0.51,adverse,-6.07,5.03,1.33,226.3,5.25,17.11
SCN_0411,0.39,moderate,-5.03,3.82,0.61,213.0,5.61,15.66
SCN_0412,0.69,adverse,-7.94,7.09,-0.0,337.5,12.52,27.73
SCN_0413,0.581,adverse,-7.03,5.93,-1.01,277.4,7.14,21.24
SCN_0414,0.28,moderate,-3.86,2.76,1.54,95.8,3.65,9.02
SCN_0415,0.536,adverse,-5.59,4.76,2.47,216.0,6.85,16.8
SCN_0416,0.556,adverse,-6.0,5.99,2.23,270.4,10.9,19.35
SCN_0417,0.699,adverse,-9.42,6.77,3.52,395.2,10.65,20.65
SCN_0418,0.493,moderate,-5.59,4.05,1.56,263.0,8.49,16.17
SCN_0419,0.117,mild,-1.31,0.79,-0.45,51.7,3.7,0.0
SCN_0420,0.614,adverse,-6.49,6.16,-0.35,318.4,7.61,24.24
SCN_0421,0.699,adverse,-8.76,7.56,-0.86,335.5,8.66,21.25
SCN_0422,0.071,mild,-1.45,0.89,-0.19,33.8,3.59,0.97
SCN_0423,0.218,mild,-3.21,2.69,-0.27,116.2,3.1,2.38
SCN_0424,0.033,baseline,0.44,0.43,-0.47,22.5,0.13,18.42
SCN_0425,0.655,adverse,-8.09,7.26,1.37,329.5,14.82,22.35
SCN_0426,0.854,severe,-10.49,9.27,3.95,410.5,11.1,27.11
SCN_0427,0.531,adverse,-5.57,5.83,-1.18,238.7,4.64,21.24
SCN_0428,0.959,severe,-11.65,9.74,4.41,459.1,14.15,36.09
SCN_0429,0.816,severe,-9.42,8.19,5.21,390.1,10.37,23.19
SCN_0430,0.212,mild,-2.29,2.28,2.18,90.1,6.19,7.8
SCN_0431,0.355,moderate,-2.85,3.54,,185.7,4.41,8.8
SCN_0432,0.994,severe,-11.33,10.35,-1.47,477.1,18.11,30.58
SCN_0433,0.403,moderate,-5.82,3.01,1.32,185.3,1.07,16.81
SCN_0434,0.997,severe,-11.13,9.84,-0.99,516.4,17.76,33.19
SCN_0435,0.627,adverse,-7.35,6.55,0.05,311.3,12.86,28.01
SCN_0436,0.788,severe,-8.42,7.69,3.91,404.8,20.0,21.61
SCN_0437,0.202,mild,-2.17,2.21,1.73,87.4,5.29,12.87
SCN_0438,0.94,severe,-11.85,10.1,4.52,481.9,14.61,34.02
SCN_0439,0.511,adverse,-5.75,5.13,-0.66,233.2,5.55,12.65
SCN_0440,0.95,severe,-11.26,9.48,2.08,484.8,12.68,40.57
SCN_0441,0.656,adverse,-8.13,6.8,2.68,312.2,12.29,14.27
SCN_0442,0.742,adverse,-7.99,7.23,2.68,393.2,9.96,30.3
SCN_0443,0.589,adverse,-7.35,5.49,0.19,317.5,8.37,14.25
SCN_0444,0.591,adverse,-6.85,6.83,-0.31,287.5,10.77,19.47
SCN_0445,0.32,moderate,-4.42,3.91,2.48,176.0,3.64,9.15
SCN_0446,0.72,adverse,-9.07,6.86,3.28,368.3,9.7,17.34
SCN_0447,0.439,moderate,-4.5,4.43,-0.45,214.3,4.94,23.76
SCN_0448,0.019,baseline,-0.5,0.74,0.87,0.0,0.32,0.68
SCN_0449,0.163,mild,-0.71,1.8,1.63,88.2,2.55,5.94
SCN_0450,0.014,baseline,-0.18,0.11,0.14,0.0,0.0,15.61
SCN_0451,0.592,adverse,-7.05,5.17,-0.64,277.4,7.78,25.95
SCN_0452,0.902,severe,-10.48,8.13,2.43,427.1,17.35,36.68
SCN_0453,0.296,moderate,-4.07,3.04,0.26,148.8,3.82,0.18
SCN_0454,0.458,moderate,-5.55,4.34,1.51,236.2,4.64,4.76
SCN_0455,0.653,adverse,-7.53,6.43,0.51,328.5,6.14,17.73
SCN_0456,0.825,severe,-9.39,8.06,0.54,451.3,13.25,30.55
SCN_0457,0.166,mild,-2.34,0.56,-0.05,91.7,2.04,5.11
SCN_0458,0.04,baseline,-1.42,0.11,0.75,55.7,2.8,0.0
SCN_0459,0.459,moderate,-5.59,4.36,-0.04,268.5,7.67,18.45
SCN_0460,0.112,mild,-0.91,0.93,0.83,68.3,0.0,11.91
SCN_0461,0.271,moderate,-2.49,2.18,0.96,112.5,4.7,9.83
SCN_0462,0.455,moderate,-6.07,3.92,-0.59,218.2,5.11,23.66
SCN_0463,0.756,severe,-8.31,7.3,1.76,377.0,7.1,33.61
SCN_0464,0.3,moderate,-3.16,2.63,2.09,132.8,7.59,12.07
SCN_0465,0.773,severe,-8.47,8.31,2.07,358.3,9.86,22.05
SCN_0466,0.551,adverse,-6.51,4.81,2.22,245.5,8.13,11.0
SCN_0467,0.666,adverse,-7.77,7.62,-1.23,324.7,12.04,16.33
SCN_0468,0.356,moderate,-4.07,2.48,0.01,157.4,5.59,7.05
SCN_0469,0.683,adverse,-8.19,7.53,0.0,326.3,9.63,17.19
SCN_0470,0.024,baseline,0.06,1.48,,6.9,0.0,1.92
SCN_0471,0.661,adverse,-7.96,7.15,1.85,350.0,11.25,23.06
SCN_0472,0.163,mild,-0.5,1.22,-0.2,66.4,6.91,10.13
SCN_0473,0.075,mild,-0.6,0.88,1.69,52.8,2.1,3.72
SCN_0474,0.506,adverse,-5.81,5.17,3.31,240.1,11.82,12.45
SCN_0475,0.203,mild,-2.62,2.91,0.65,86.7,0.62,8.71
SCN_0476,0.623,adverse,-7.76,5.15,2.37,301.5,5.63,27.24
SCN_0477,0.218,mild,-2.14,1.83,2.22,123.9,0.75,3.04
SCN_0478,0.323,moderate,-4.03,3.15,1.26,146.6,5.08,16.08
SCN_0479,0.939,severe,-11.36,9.24,-1.08,448.2,14.88,32.16
SCN_0480,0.273,moderate,-2.65,2.14,0.08,140.2,2.33,16.71
SCN_0481,0.69,adverse,-8.1,7.79,-0.31,344.7,11.26,19.57
SCN_0482,0.273,moderate,-3.94,3.07,-0.14,141.9,0.0,4.72
SCN_0483,0.803,severe,-9.62,6.68,4.28,404.1,9.99,33.07
SCN_0484,0.156,mild,-2.28,1.74,,110.3,3.23,7.76
SCN_0485,0.811,severe,-10.48,8.43,0.39,411.8,11.59,30.89
SCN_0486,0.142,mild,-3.55,1.51,-0.55,80.1,1.88,13.19
SCN_0487,0.997,severe,-12.77,10.12,1.62,519.3,15.86,30.4
SCN_0488,0.245,mild,-3.22,2.83,0.57,138.3,4.04,15.0
SCN_0489,0.525,adverse,-6.02,5.5,1.04,228.3,6.73,22.61
SCN_0490,0.086,mild,-0.89,0.72,0.28,50.5,3.19,7.37
SCN_0491,0.901,severe,-10.62,9.6,0.71,465.4,13.63,31.27
SCN_0492,0.447,moderate,-5.43,4.56,1.78,249.3,3.85,13.48
SCN_0493,0.259,moderate,-1.92,2.38,0.26,118.6,8.04,0.0
SCN_0494,0.909,severe,-9.27,9.39,-1.5,453.8,13.81,36.06
SCN_0495,0.226,mild,-2.47,1.99,-0.65,98.9,0.8,0.0
SCN_0496,0.869,severe,-10.96,8.1,2.03,410.5,5.17,25.19
SCN_0497,0.545,adverse,-6.9,6.21,-1.01,290.1,8.13,18.86
SCN_0498,0.922,,-11.1,8.84,0.17,456.3,11.47,37.23
SCN_0499,0.709,adverse,-8.78,7.17,-1.57,337.4,10.82,21.72
SCN_0500,0.431,moderate,-6.14,4.13,1.95,201.4,12.76,19.5
